id,query,源文件,,,,,,,,
1,ZXUN RCP部署成功后，各个虚机个数都是最少个数，是否可以一次性扩容完成？有哪些注意事项？,rcp/安装与调试/软件安装（AIC部署）-SDN/配置虚机弹扩.txt,,推断,,,,,,
2,如何排查PCF侧建立专载失败，发起Rx-ASR释放问题？,rcp\故障管理\故障处理\业务故障\配置类业务故障\PCF侧建立专载失败，发起Rx-ASR释放.txt,,明确,,,,,,
3,Director中的VDC是什么概念,director\描述\产品描述\主要功能\资源管理\资源调配.txt,,明确,,,,,,
4,RCP如何将VoNR呼叫的Rx会话绑定到对应的N7会话？,rcp\特性指导\套餐业务类特性\ZUF-59-55-051 VoNR\特性描述.txt,,明确,,,,,,
5,布虚机时最多可以为虚机分配几块网卡？,director/操作与维护/用户指南/租户操作指南/组织管理员操作指南/虚机发布管理/发布虚机.txt,,推断,,,,,,
6,EPS回落流程中，PCF向SBC上报几次用户位置吗，分别使用什么事件？,rcp\特性指导\套餐业务类特性\ZUF-59-55-051 VoNR\特性描述.txt,,推断,,,,,,
7,RCP对AF请求的授权响应方式有哪几种？,rcp\特性指导\套餐业务类特性\ZUF-59-55-051 VoNR\特性描述.txt,,明确,,,,,,
8,Director接收南向告警的snmp端口号是多少,,,查询不到“南向告警”，也查询不到“snmp端口号”,,,,,,
9,硬件资源包括哪些种类,,,检索不到,,,,,,
10,PCF与SMF对接时，一般需要配置哪些数据？,rcp\安装与调试\初始配置（手工部署）\PCF对接数据配置\配置SMF对接数据.txt,,表格将文本文本数据打乱了,,,,,
11,Director支持在华为云虚机上部署吗？,"director/安装与调试/TCF部署TECS Director/部署前准备/版本及节点配置/虚机场景节点准备.txt
director/描述/产品描述/主要功能/资源管理/资源纳管.txt",第一个非叶子节点，属于索引文件；第二个是叶子节点，里面具体提到了答案中包含的TECS虚机和Vmware虚机，并提到阿里云，没有提到华为云,感觉很难，这两个文件只说明了部署的两个场景，但没有明确说能不能在华为云上部署,,,,,
12,如何登录Director的容灾管理界面？,director/操作与维护/容灾/容灾对接指南.txt,叶子节点,,,,,,
13,如何选择合适的信令跟踪,rcp/故障管理/应急处理/故障信息采集/信令跟踪.txt,叶子节点,,,,,,
14,RCP如何识别紧急呼叫？,rcp/特性指导/套餐业务类特性/ZUF-59-55-051 VoNR/特性描述.txt,叶子节点,里面明确的一句话,,,,,
15,模板中内部网络的VIP和地址池填写是要注意什么,director/安装与调试/TCF部署TECS Director/部署前准备/准备模板.txt,叶子节点,里面明确的一句话,,,,,
16,命令行部署方式，daisyseed日志在哪个路径下？,director/安装与调试/TCF部署TECS Director/执行部署/命令行部署.txt,叶子节点,里面较为明确的一句话,,,,,
17,PCF使用同一个版本，在同一个环境下部署的多套PCF网元，是否可以使用同一个license申请文件申请？,暂未发现,,,,,,,
18,如果虚机规格已发布到云上，修改本地规格会同步修改云上的规格吗？,director/安装与调试/配置指南/资源配置管理/虚机规格管理/发布虚机规格.txt,叶子节点,里面明确的一句话,,,,,
19,中移报表功能中，哪些日志是需要SPR提供的？,rcp/特性指导/接口类特性/FL-07-01-002 中移策略报表/特性配置.txt,叶子节点,不明确的话,"RCP业务产生的策略日志、通知日志、业务历史日志等直接扫描入库，同时作为SFTP服务器接收SPR侧上传的签约趋势日志和业务历史日志并把相应的记录入库。

",,,,
20,什么角色可以创建子组织？,director/安装与调试/配置指南/子组织管理/创建子组织/创建子组织.txt,叶子节点,里面较为明确的一句话,,,,,
